Número,Ano,Processo,Modalidade,Objeto,Situação,Valor,Órgão,Categoria,Link Aviso,Link Contrato
90002,2025,053590205050000922025,PREGÃO ELETRÔNICO,contratação de empresa especializada no fornecimento de TUBOS DE POLIETILENO DE ALTA DENSIDADE (PEAD) DO TIPO PE 100,PUBLICADA,"0,00",POTIGÁS,ENERGIA,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12474,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12474
90001,2025,053590205050000602025,PREGÃO ELETRÔNICO,Contratação de empresa para prestação dos serviços contínuos de GESTÃO DOCUMENTAL E APOIO NA FISCALIZAÇÃO DE CONTRATOS,HOMOLOGADA,"95.635,08",POTIGÁS,ENERGIA,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12448,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12448
90001,2025,028100070020952024,PREGÃO ELETRÔNICO,Contratação de empresa especializada na prestação de serviços de Manutenção preventiva e troca de baterias dos break,PUBLICADA,"0,00",IDEMA,GESTÃO AMBIENTAL,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12389,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12389
90002,2025,039101460001702024,PREGÃO ELETRÔNICO,"Aquisição de Insumos Laboratoriais,  Médicos e Odonto Legais para atender as necessidades do ITEP/RN.",PUBLICADA,"0,00",ITEP,CIÊNCIA E TECNOLOGIA,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12506,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12506
02,2025,0391014700002420253,PREGÃO ELETRÔNICO,FORNECIMENTO E INSTALAÇÃO DE SEIS EXAUSTORES INSULFLADORES DE AR COM FILTRO HEPA,PUBLICADA,"0,00",ITEP,CIÊNCIA E TECNOLOGIA,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12359,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12359
90065,2025,119100240029802024,PREGÃO ELETRÔNICO,AQUISIÇÃO DE EQUIPAMENTOS TECNOLÓGICOS PARA A POLÍCIA CIVIL/RN.,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12531,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12531
90060,2025,015110650000692024,PREGÃO ELETRÔNICO,"AQUISIÇÃO DE 02 (DOIS) VEÍCULOS ADAPTADOS, TIPO VAN/FURGÃO, PARA O TRANSPORTE DE CÃES E POLICIAIS MILITARES.",PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12528,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12528
90059,2025,001100330008682025,PREGÃO ELETRÔNICO,"Contratação de Serviços de locação de veículos 100% elétricos mediante pagamento mensal, bem como a locação de veículos do tipo van, ônibus e caminhão-baú, por meio de diárias, utilizando o SRP.",PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12512,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12512
90058,2025,015110550000922024,PREGÃO ELETRÔNICO,"CONTRATAÇÃO DE EMPRESA PARA REALIZAÇÃO DE SERVIÇOS DE MATERIAL GRÁFICO PARA INFORMATIVOS DE PREVENÇÃO, CUIDADO E PÓSVENÇÃO EM SAÚDE MENTAL DA POLÍCIA MILITAR/RN,",PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12505,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12505
90057,2025,015110550000902024,PREGÃO ELETRÔNICO,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA REALIZAÇÃO DE SERVIÇOS DE ANÁLISES E DIAGNÓSTICO PARA DEFINIÇÃO DE ESTRATÉGIAS DE PREVENÇÃO AO SUICÍDIO NA POLÍCIA MILITAR/RN,PUBLICADA,"0,00",SEARH,ADMINISTRAÇÃO,http://servicos.searh.rn.gov.br/searh/Licitacao/AvisoLicitacao/12500,http://servicos.searh.rn.gov.br/searh/Licitacao/ContratoLicitacao/12500
